IdArticulo,NombreLista,Motivo
763,INSTITUCIONAL II,Producto no encontrado en Odoo
764,INSTITUCIONAL II,Producto no encontrado en Odoo
770,INSTITUCIONAL II,Producto no encontrado en Odoo
1001,INSTITUCIONAL II,Producto no encontrado en Odoo
1002,INSTITUCIONAL II,Producto no encontrado en Odoo
1261,INSTITUCIONAL II,Producto no encontrado en Odoo
4294,INSTITUCIONAL II,Producto no encontrado en Odoo
4685,INSTITUCIONAL II,Producto no encontrado en Odoo
5213,INSTITUCIONAL II,Producto no encontrado en Odoo
6301,INSTITUCIONAL II,Producto no encontrado en Odoo
6302,INSTITUCIONAL II,Producto no encontrado en Odoo
6451,INSTITUCIONAL II,Producto no encontrado en Odoo
7610,INSTITUCIONAL II,Producto no encontrado en Odoo
7621,INSTITUCIONAL II,Producto no encontrado en Odoo
7690,INSTITUCIONAL II,Producto no encontrado en Odoo
7723,INSTITUCIONAL II,Producto no encontrado en Odoo
7724,INSTITUCIONAL II,Producto no encontrado en Odoo
7725,INSTITUCIONAL II,Producto no encontrado en Odoo
7727,INSTITUCIONAL II,Producto no encontrado en Odoo
00002,INSTITUCIONAL II,Producto no encontrado en Odoo
46861,INSTITUCIONAL II,Producto no encontrado en Odoo
1528,Baggu 2,Producto no encontrado en Odoo
1529,Baggu 2,Producto no encontrado en Odoo
1530,Baggu 2,Producto no encontrado en Odoo
4,Consumidor Final,Producto no encontrado en Odoo
00,Consumidor Final,Producto no encontrado en Odoo
04,Consumidor Final,Producto no encontrado en Odoo
07,Consumidor Final,Producto no encontrado en Odoo
11,Consumidor Final,Producto no encontrado en Odoo
12,Consumidor Final,Producto no encontrado en Odoo
13,Consumidor Final,Producto no encontrado en Odoo
24,Consumidor Final,Producto no encontrado en Odoo
31,Consumidor Final,Producto no encontrado en Odoo
35,Consumidor Final,Producto no encontrado en Odoo
36,Consumidor Final,Producto no encontrado en Odoo
44,Consumidor Final,Producto no encontrado en Odoo
47,Consumidor Final,Producto no encontrado en Odoo
64,Consumidor Final,Producto no encontrado en Odoo
68,Consumidor Final,Producto no encontrado en Odoo
75,Consumidor Final,Producto no encontrado en Odoo
81,Consumidor Final,Producto no encontrado en Odoo
82,Consumidor Final,Producto no encontrado en Odoo
83,Consumidor Final,Producto no encontrado en Odoo
96,Consumidor Final,Producto no encontrado en Odoo
014,Consumidor Final,Producto no encontrado en Odoo
051,Consumidor Final,Producto no encontrado en Odoo
114,Consumidor Final,Producto no encontrado en Odoo
147,Consumidor Final,Producto no encontrado en Odoo
150,Consumidor Final,Producto no encontrado en Odoo
151,Consumidor Final,Producto no encontrado en Odoo
154,Consumidor Final,Producto no encontrado en Odoo
155,Consumidor Final,Producto no encontrado en Odoo
159,Consumidor Final,Producto no encontrado en Odoo
164,Consumidor Final,Producto no encontrado en Odoo
166,Consumidor Final,Producto no encontrado en Odoo
168,Consumidor Final,Producto no encontrado en Odoo
169,Consumidor Final,Producto no encontrado en Odoo
181,Consumidor Final,Producto no encontrado en Odoo
191,Consumidor Final,Producto no encontrado en Odoo
193,Consumidor Final,Producto no encontrado en Odoo
194,Consumidor Final,Producto no encontrado en Odoo
200,Consumidor Final,Producto no encontrado en Odoo
210,Consumidor Final,Producto no encontrado en Odoo
249,Consumidor Final,Producto no encontrado en Odoo
250,Consumidor Final,Producto no encontrado en Odoo
256,Consumidor Final,Producto no encontrado en Odoo
260,Consumidor Final,Producto no encontrado en Odoo
266,Consumidor Final,Producto no encontrado en Odoo
267,Consumidor Final,Producto no encontrado en Odoo
271,Consumidor Final,Producto no encontrado en Odoo
283,Consumidor Final,Producto no encontrado en Odoo
285,Consumidor Final,Producto no encontrado en Odoo
314,Consumidor Final,Producto no encontrado en Odoo
317,Consumidor Final,Producto no encontrado en Odoo
319,Consumidor Final,Producto no encontrado en Odoo
330,Consumidor Final,Producto no encontrado en Odoo
337,Consumidor Final,Producto no encontrado en Odoo
338,Consumidor Final,Producto no encontrado en Odoo
360,Consumidor Final,Producto no encontrado en Odoo
361,Consumidor Final,Producto no encontrado en Odoo
364,Consumidor Final,Producto no encontrado en Odoo
383,Consumidor Final,Producto no encontrado en Odoo
384,Consumidor Final,Producto no encontrado en Odoo
426,Consumidor Final,Producto no encontrado en Odoo
427,Consumidor Final,Producto no encontrado en Odoo
430,Consumidor Final,Producto no encontrado en Odoo
436,Consumidor Final,Producto no encontrado en Odoo
437,Consumidor Final,Producto no encontrado en Odoo
438,Consumidor Final,Producto no encontrado en Odoo
444,Consumidor Final,Producto no encontrado en Odoo
445,Consumidor Final,Producto no encontrado en Odoo
449,Consumidor Final,Producto no encontrado en Odoo
493,Consumidor Final,Producto no encontrado en Odoo
494,Consumidor Final,Producto no encontrado en Odoo
501,Consumidor Final,Producto no encontrado en Odoo
511,Consumidor Final,Producto no encontrado en Odoo
512,Consumidor Final,Producto no encontrado en Odoo
514,Consumidor Final,Producto no encontrado en Odoo
540,Consumidor Final,Producto no encontrado en Odoo
544,Consumidor Final,Producto no encontrado en Odoo
560,Consumidor Final,Producto no encontrado en Odoo
561,Consumidor Final,Producto no encontrado en Odoo
563,Consumidor Final,Producto no encontrado en Odoo
576,Consumidor Final,Producto no encontrado en Odoo
580,Consumidor Final,Producto no encontrado en Odoo
584,Consumidor Final,Producto no encontrado en Odoo
585,Consumidor Final,Producto no encontrado en Odoo
586,Consumidor Final,Producto no encontrado en Odoo
590,Consumidor Final,Producto no encontrado en Odoo
593,Consumidor Final,Producto no encontrado en Odoo
597,Consumidor Final,Producto no encontrado en Odoo
598,Consumidor Final,Producto no encontrado en Odoo
599,Consumidor Final,Producto no encontrado en Odoo
612,Consumidor Final,Producto no encontrado en Odoo
625,Consumidor Final,Producto no encontrado en Odoo
626,Consumidor Final,Producto no encontrado en Odoo
627,Consumidor Final,Producto no encontrado en Odoo
628,Consumidor Final,Producto no encontrado en Odoo
633,Consumidor Final,Producto no encontrado en Odoo
634,Consumidor Final,Producto no encontrado en Odoo
